v8-version,7,1,302,31,0
code-creation,Builtin,3,4000,0x7ff6df586620,12,HandleApiCallAsFunction
code-creation,Builtin,3,4000,0x7ff6df586640,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4000,0x7ff6df586660,40,AllocateInNewSpace
code-creation,Builtin,3,4000,0x7ff6df5866a0,60,AllocateInOldSpace
code-creation,Builtin,3,4000,0x7ff6df5866e0,755,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4000,0x7ff6df5869e0,504,GrowFastDoubleElements
code-creation,Builtin,3,4000,0x7ff6df586be0,464,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4000,0x7ff6df586dc0,335,NewArgumentsElements
code-creation,Builtin,3,4000,0x7ff6df586f20,444,DebugBreakTrampoline
code-creation,Builtin,3,4000,0x7ff6df5870e0,112,FrameDropperTrampoline
code-creation,Builtin,3,4000,0x7ff6df587160,45,HandleDebuggerStatement
code-creation,Builtin,3,4000,0x7ff6df5871a0,386,ToObject
code-creation,Builtin,3,4000,0x7ff6df587340,147,ToBoolean
code-creation,Builtin,3,4000,0x7ff6df5873e0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4000,0x7ff6df587500,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,4000,0x7ff6df587620,225,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4000,0x7ff6df587720,225,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4000,0x7ff6df587820,225,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4000,0x7ff6df587920,91,StringToNumber
code-creation,Builtin,3,4000,0x7ff6df587980,131,ToName
code-creation,Builtin,3,4000,0x7ff6df587a20,309,NonNumberToNumber
code-creation,Builtin,3,4000,0x7ff6df587b60,321,NonNumberToNumeric
code-creation,Builtin,3,4000,0x7ff6df587cc0,265,ToNumber
code-creation,Builtin,3,4000,0x7ff6df587de0,308,ToNumberConvertBigInt
code-creation,Builtin,3,4000,0x7ff6df587f20,349,ToNumeric
code-creation,Builtin,3,4000,0x7ff6df588080,271,NumberToString
code-creation,Builtin,3,4000,0x7ff6df5881a0,347,ToString
code-creation,Builtin,3,4000,0x7ff6df588300,486,ToInteger
code-creation,Builtin,3,4000,0x7ff6df588500,506,ToInteger_TruncateMinusZero
code-creation,Builtin,3,4000,0x7ff6df588700,542,ToLength
code-creation,Builtin,3,4000,0x7ff6df588920,156,Typeof
code-creation,Builtin,3,4000,0x7ff6df5889c0,71,GetSuperConstructor
code-creation,Builtin,3,4000,0x7ff6df588a20,159,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4000,0x7ff6df588ac0,3003,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4000,0x7ff6df589680,36,KeyedLoadIC_Slow
code-creation,Builtin,3,4000,0x7ff6df5896c0,14940,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4000,0x7ff6df58d120,40,KeyedStoreIC_Slow
